# 简名 → 完整包路径对照表（写 import 时查这个）
# 共 9331 个简名，同名类用 | 分隔

AABB	net.minecraft.world.phys.AABB
AABB$Builder	net.minecraft.world.phys.AABB$Builder
ARGB	net.minecraft.util.ARGB
Abilities	net.minecraft.world.entity.player.Abilities
Abilities$Packed	net.minecraft.world.entity.player.Abilities$Packed
AbortableIterationConsumer	net.minecraft.util.AbortableIterationConsumer
AbortableIterationConsumer$Continuation	net.minecraft.util.AbortableIterationConsumer$Continuation
AboveRootPlacement	net.minecraft.world.level.levelgen.feature.rootplacers.AboveRootPlacement
AbsorptionMobEffect	net.minecraft.world.effect.AbsorptionMobEffect
AbstractArrow	net.minecraft.world.entity.projectile.arrow.AbstractArrow
AbstractArrow$Pickup	net.minecraft.world.entity.projectile.arrow.AbstractArrow$Pickup
AbstractArrowPickupFix	net.minecraft.util.datafix.fixes.AbstractArrowPickupFix
AbstractBannerBlock	net.minecraft.world.level.block.AbstractBannerBlock
AbstractBlockPropertyFix	net.minecraft.util.datafix.fixes.AbstractBlockPropertyFix
AbstractBoat	net.minecraft.world.entity.vehicle.boat.AbstractBoat
AbstractBoat$Status	net.minecraft.world.entity.vehicle.boat.AbstractBoat$Status
AbstractBoatModel	net.minecraft.client.model.object.boat.AbstractBoatModel
AbstractBoatRenderer	net.minecraft.client.renderer.entity.AbstractBoatRenderer
AbstractButton	net.minecraft.client.gui.components.AbstractButton
AbstractCandleBlock	net.minecraft.world.level.block.AbstractCandleBlock
AbstractCauldronBlock	net.minecraft.world.level.block.AbstractCauldronBlock
AbstractChestBlock	net.minecraft.world.level.block.AbstractChestBlock
AbstractChestBoat	net.minecraft.world.entity.vehicle.boat.AbstractChestBoat
AbstractChestedHorse	net.minecraft.world.entity.animal.equine.AbstractChestedHorse
AbstractChestedHorse$1	net.minecraft.world.entity.animal.equine.AbstractChestedHorse$1
AbstractClientPlayer	net.minecraft.client.player.AbstractClientPlayer
AbstractCommandBlockEditScreen	net.minecraft.client.gui.screens.inventory.AbstractCommandBlockEditScreen
AbstractCommandBlockEditScreen$1	net.minecraft.client.gui.screens.inventory.AbstractCommandBlockEditScreen$1
AbstractConsecutiveExecutor	net.minecraft.util.thread.AbstractConsecutiveExecutor
AbstractConsecutiveExecutor$Status	net.minecraft.util.thread.AbstractConsecutiveExecutor$Status
AbstractContainerEventHandler	net.minecraft.client.gui.components.events.AbstractContainerEventHandler
AbstractContainerMenu	net.minecraft.world.inventory.AbstractContainerMenu
AbstractContainerMenu$1	net.minecraft.world.inventory.AbstractContainerMenu$1
AbstractContainerScreen	net.minecraft.client.gui.screens.inventory.AbstractContainerScreen
AbstractContainerScreen$SnapbackData	net.minecraft.client.gui.screens.inventory.AbstractContainerScreen$SnapbackData
AbstractContainerWidget	net.minecraft.client.gui.components.AbstractContainerWidget
AbstractCookingRecipe	net.minecraft.world.item.crafting.AbstractCookingRecipe
AbstractCookingRecipe$Factory	net.minecraft.world.item.crafting.AbstractCookingRecipe$Factory
AbstractCookingRecipe$Serializer	net.minecraft.world.item.crafting.AbstractCookingRecipe$Serializer
AbstractCow	net.minecraft.world.entity.animal.cow.AbstractCow
AbstractCraftingMenu	net.minecraft.world.inventory.AbstractCraftingMenu
AbstractCraftingMenu$1	net.minecraft.world.inventory.AbstractCraftingMenu$1
AbstractDebugChart	net.minecraft.client.gui.components.debugchart.AbstractDebugChart
AbstractDragonPhaseInstance	net.minecraft.world.entity.boss.enderdragon.phases.AbstractDragonPhaseInstance
AbstractDragonSittingPhase	net.minecraft.world.entity.boss.enderdragon.phases.AbstractDragonSittingPhase
AbstractEndPortalRenderer	net.minecraft.client.renderer.blockentity.AbstractEndPortalRenderer
AbstractEquineModel	net.minecraft.client.model.animal.equine.AbstractEquineModel
AbstractFish	net.minecraft.world.entity.animal.fish.AbstractFish
AbstractFish$FishMoveControl	net.minecraft.world.entity.animal.fish.AbstractFish$FishMoveControl
AbstractFish$FishSwimGoal	net.minecraft.world.entity.animal.fish.AbstractFish$FishSwimGoal
AbstractFurnaceBlock	net.minecraft.world.level.block.AbstractFurnaceBlock
AbstractFurnaceBlockEntity	net.minecraft.world.level.block.entity.AbstractFurnaceBlockEntity
AbstractFurnaceBlockEntity$1	net.minecraft.world.level.block.entity.AbstractFurnaceBlockEntity$1
AbstractFurnaceMenu	net.minecraft.world.inventory.AbstractFurnaceMenu
AbstractFurnaceMenu$1	net.minecraft.world.inventory.AbstractFurnaceMenu$1
AbstractFurnaceScreen	net.minecraft.client.gui.screens.inventory.AbstractFurnaceScreen
AbstractGolem	net.minecraft.world.entity.animal.golem.AbstractGolem
AbstractHoglinRenderer	net.minecraft.client.renderer.entity.AbstractHoglinRenderer
AbstractHorse	net.minecraft.world.entity.animal.equine.AbstractHorse
AbstractHorse$MountPanicGoal	net.minecraft.world.entity.animal.equine.AbstractHorse$MountPanicGoal
AbstractHorseRenderer	net.minecraft.client.renderer.entity.AbstractHorseRenderer
AbstractHugeMushroomFeature	net.minecraft.world.level.levelgen.feature.AbstractHugeMushroomFeature
AbstractHurtingProjectile	net.minecraft.world.entity.projectile.hurtingprojectile.AbstractHurtingProjectile
AbstractIllager	net.minecraft.world.entity.monster.illager.AbstractIllager
AbstractIllager$IllagerArmPose	net.minecraft.world.entity.monster.illager.AbstractIllager$IllagerArmPose
AbstractIllager$RaiderOpenDoorGoal	net.minecraft.world.entity.monster.illager.AbstractIllager$RaiderOpenDoorGoal
AbstractLayout	net.minecraft.client.gui.layouts.AbstractLayout
AbstractLayout$AbstractChildWrapper	net.minecraft.client.gui.layouts.AbstractLayout$AbstractChildWrapper
AbstractListBuilder	net.minecraft.util.AbstractListBuilder
AbstractMinecart	net.minecraft.world.entity.vehicle.minecart.AbstractMinecart
AbstractMinecartContainer	net.minecraft.world.entity.vehicle.minecart.AbstractMinecartContainer
AbstractMinecartRenderer	net.minecraft.client.renderer.entity.AbstractMinecartRenderer
AbstractMountInventoryMenu	net.minecraft.world.inventory.AbstractMountInventoryMenu
AbstractMountInventoryScreen	net.minecraft.client.gui.screens.inventory.AbstractMountInventoryScreen
AbstractNautilus	net.minecraft.world.entity.animal.nautilus.AbstractNautilus
AbstractOptionSliderButton	net.minecraft.client.gui.components.AbstractOptionSliderButton
AbstractPackResources	net.minecraft.server.packs.AbstractPackResources
AbstractPiglin	net.minecraft.world.entity.monster.piglin.AbstractPiglin
AbstractPiglinModel	net.minecraft.client.model.monster.piglin.AbstractPiglinModel
AbstractPoiSectionFix	net.minecraft.util.datafix.fixes.AbstractPoiSectionFix
AbstractRecipeBookScreen	net.minecraft.client.gui.screens.inventory.AbstractRecipeBookScreen
